Elapsed_Time, System_Time, Elbow_Angle_L, Elbow_Speed_L, Elbow_Angle_R, Elbow_Speed_R, ArmUD_Angle_L, ArmUD_Speed_L, ArmUD_Angle_R, ArmUD_Speed_R, ArmLR_Angle_L, ArmLR_Speed_L, ArmLR_Angle_R, ArmLR_Speed_R
7.842609, 19:49:57.946,124.5765,3.733454,120.2675,-4.611327,12.57512,-0.1813378,12.36518,2.531265,32.63287,-1.020973,110.8431,-7.88489,
7.894815, 19:49:58.000,124.5779,0.4087197,120.0294,-4.37102,12.56414,-0.2131372,12.47315,2.030199,32.56821,-1.387856,110.5024,-5.314507,
7.948654, 19:49:58.069,124.6199,0.8121341,119.804,67.81078,12.55252,-0.2375017,12.58047,1.677326,32.48569,-1.631353,110.2796,-2.798159,
8.017579, 19:49:58.143,124.6776,-24.76049,128.3541,20.40777,12.53498,-0.1801995,12.67907,1.271432,32.36794,-1.493051,110.1589,-1.268471,
8.092627, 19:49:58.194,121.0551,-26.69926,122.7421,-45.89906,12.52658,0.1138164,12.76352,1.038142,32.27073,-1.045531,110.0969,0.5551887,
8.142645, 19:49:58.271,121.3384,4.239295,122.6137,-22.47027,12.54922,0.3845102,12.80891,0.4305567,32.23718,-0.3883356,110.2283,2.923246,
8.220269, 19:49:58.320,121.5962,4.061368,119.874,-32.08999,12.57565,0.5463821,12.81848,1.072472,32.22116,0.0708579,110.4701,0.6779558,
8.268459, 19:49:58.374,121.8494,38.38659,118.5763,-18.39742,12.61796,0.8273116,12.94384,0.05964785,32.24609,0.5434685,110.3136,-0.4383449,
8.322419, 19:49:58.444,125.5174,24.43553,117.9947,-8.159437,12.66016,0.8594196,12.82457,-1.534492,32.27668,0.8442636,110.4253,1.275008,
8.392922, 19:49:58.498,124.8907,-18.23001,117.5608,80.46613,12.72493,0.9411951,12.75285,-0.3067551,32.35117,1.017539,110.4723,0.4595894,
8.446176, 19:49:58.570,123.2613,4.438957,127.9529,34.85474,12.77664,0.8008186,12.78661,0.7674989,32.40261,0.857989,110.4822,-0.1436664,
8.518516, 19:49:58.640,125.4482,51.59637,121.9383,-44.55761,12.82551,0.6363782,12.84924,0.5445368,32.45893,0.7420858,110.4543,-0.09638103,
8.58882, 19:49:58.693,130.6212,31.96513,121.597,-20.99638,12.86742,0.620258,12.86428,0.2623099,32.50846,0.7048094,110.4684,0.2460748,
8.641696, 19:49:58.747,129.3857,-11.41379,119.352,54.08831,12.90191,0.5410168,12.88155,0.5742173,32.54575,0.5691198,110.4846,-0.06428667,
8.695273, 19:49:58.820,129.4061,0.3117538,127.3549,14.89283,12.92501,0.2781789,12.92541,0.7955673,32.56905,0.242927,110.4616,-0.5379119,
8.770226, 19:49:58.871,129.4258,-17.56001,121.2661,-60.5131,12.93766,0.1323697,12.98381,0.8503087,32.57697,-0.02091784,110.4155,-0.7329218,
8.819647, 19:49:58.944,127.2221,-27.53436,119.8287,-30.34333,12.94148,-0.0197077,13.03117,0.7937917,32.56644,-0.3492552,110.3704,-0.780372,
8.892316, 19:49:58.995,126.0641,-14.86805,117.5615,-26.3777,12.93526,-0.2108737,13.08072,0.9266556,32.53433,-0.808996,110.3202,-0.6322238,
8.944486, 19:49:59.069,125.366,-8.913165,116.5357,-14.40829,12.91515,-0.3471338,13.14685,1.422711,32.46545,-1.141762,110.2915,-0.4655639,
9.017188, 19:49:59.123,124.9511,-5.159021,115.7623,-10.51464,12.89191,-0.394512,13.25838,1.670697,32.39176,-1.222273,110.262,-0.3904313,
9.071619, 19:49:59.173,124.7102,-3.178318,115.199,99.15828,12.865,-0.5611817,13.35925,1.686132,32.31006,-1.625952,110.2419,-0.1582456,
9.121905, 19:49:59.245,124.6182,-0.5389965,126.1459,30.99975,12.83314,-0.5209625,13.43495,1.147936,32.22149,-1.415492,110.2455,-0.2361711,
